# m/z   	intensity 
1999.913244  	309.000000
2000.258846  	310.000000
2000.604477  	309.000000
2000.950138  	316.000000
2001.295829  	315.000000
2001.641550  	312.000000
2001.987300  	306.000000
2002.333081  	313.000000
2002.678891  	307.000000
2003.024730  	294.000000
2003.370600  	315.000000
2003.716499  	325.000000
2004.062428  	331.000000
2004.408387  	307.000000
2004.754376  	299.000000
2005.100394  	302.000000
2005.446442  	297.000000
2005.792520  	297.000000
2006.138628  	313.000000
2006.484765  	311.000000
2006.830932  	311.000000
2007.177129  	310.000000
2007.523356  	328.000000
2007.869612  	341.000000
2008.215898  	329.000000
2008.562214  	337.000000
2008.908560  	322.000000
2009.254935  	324.000000
2009.601340  	311.000000
2009.947775  	326.000000
2010.294240  	327.000000
2010.640735  	330.000000
2010.987259  	327.000000
2011.333813  	329.000000
2011.680397  	320.000000
2012.027010  	323.000000
2012.373654  	331.000000
2012.720327  	324.000000
2013.067030  	321.000000
2013.413762  	317.000000
2013.760524  	321.000000
2014.107317  	333.000000
2014.454138  	326.000000
2014.800990  	310.000000
2015.147871  	309.000000
2015.494783  	297.000000
2015.841724  	296.000000
2016.188694  	311.000000
2016.535695  	313.000000
2016.882725  	318.000000
2017.229785  	324.000000
2017.576874  	336.000000
2017.923994  	323.000000
2018.271143  	313.000000
2018.618322  	324.000000
2018.965531  	316.000000
2019.312769  	324.000000
2019.660038  	329.000000
2020.007336  	325.000000
2020.354663  	317.000000
2020.702021  	307.000000
2021.049408  	295.000000
2021.396825  	307.000000
2021.744272  	316.000000
2022.091749  	308.000000
2022.439255  	310.000000
2022.786791  	318.000000
2023.134357  	314.000000
2023.481953  	328.000000
2023.829578  	343.000000
2024.177233  	349.000000
2024.524918  	336.000000
2024.872633  	345.000000
2025.220377  	354.000000
2025.568151  	364.000000
2025.915955  	362.000000
2026.263789  	363.000000
2026.611653  	368.000000
2026.959546  	389.000000
2027.307469  	436.000000
2027.655421  	458.000000
2028.003404  	477.000000
2028.351416  	534.000000
2028.699458  	590.000000
2029.047530  	658.000000
2029.395632  	750.000000
2029.743763  	853.000000
2030.091924  	925.000000
2030.440115  	972.000000
2030.788335  	945.000000
2031.136586  	922.000000
2031.484866  	871.000000
2031.833176  	796.000000
2032.181515  	736.000000
2032.529885  	683.000000
2032.878284  	625.000000
2033.226713  	561.000000
2033.575171  	502.000000
2033.923660  	459.000000
2034.272178  	433.000000
2034.620726  	410.000000
2034.969303  	394.000000
2035.317911  	382.000000
2035.666548  	386.000000
2036.015215  	380.000000
2036.363912  	387.000000
2036.712638  	373.000000
2037.061394  	373.000000
2037.410180  	403.000000
2037.758996  	409.000000
2038.107842  	385.000000
2038.456717  	364.000000
2038.805622  	379.000000
2039.154557  	390.000000
2039.503521  	378.000000
2039.852515  	370.000000
2040.201540  	356.000000
2040.550593  	370.000000
2040.899677  	364.000000
2041.248790  	375.000000
2041.597933  	397.000000
2041.947106  	415.000000
2042.296309  	407.000000
2042.645541  	408.000000
2042.994803  	406.000000
2043.344095  	405.000000
2043.693417  	407.000000
2044.042768  	417.000000
2044.392149  	414.000000
2044.741560  	421.000000
2045.091001  	432.000000
2045.440471  	429.000000
2045.789972  	422.000000
2046.139501  	410.000000
2046.489061  	418.000000
2046.838651  	429.000000
2047.188270  	430.000000
2047.537919  	394.000000
2047.887598  	402.000000
2048.237306  	394.000000
2048.587044  	369.000000
2048.936812  	353.000000
2049.286610  	355.000000
2049.636438  	362.000000
2049.986295  	370.000000
2050.336182  	354.000000
2050.686099  	380.000000
2051.036045  	410.000000
2051.386022  	432.000000
2051.736028  	460.000000
2052.086063  	484.000000
2052.436129  	507.000000
2052.786224  	516.000000
2053.136349  	557.000000
2053.486504  	552.000000
2053.836689  	537.000000
2054.186903  	512.000000
2054.537147  	500.000000
2054.887421  	487.000000
2055.237725  	480.000000
2055.588058  	461.000000
2055.938421  	445.000000
2056.288814  	425.000000
2056.639237  	399.000000
2056.989690  	389.000000
2057.340172  	390.000000
2057.690684  	383.000000
2058.041225  	394.000000
2058.391797  	389.000000
2058.742398  	395.000000
2059.093029  	391.000000
2059.443690  	388.000000
2059.794380  	403.000000
2060.145100  	435.000000
2060.495850  	460.000000
2060.846630  	453.000000
2061.197440  	463.000000
2061.548279  	493.000000
2061.899148  	530.000000
2062.250047  	524.000000
2062.600975  	525.000000
2062.951934  	531.000000
2063.302922  	496.000000
2063.653939  	461.000000
2064.004987  	457.000000
2064.356064  	464.000000
2064.707171  	443.000000
2065.058308  	421.000000
2065.409475  	399.000000
2065.760671  	395.000000
2066.111897  	378.000000
2066.463153  	395.000000
2066.814439  	409.000000
2067.165754  	424.000000
2067.517099  	468.000000
2067.868474  	497.000000
2068.219879  	516.000000
2068.571313  	517.000000
2068.922777  	522.000000
2069.274271  	513.000000
2069.625795  	509.000000
2069.977348  	494.000000
2070.328932  	480.000000
2070.680544  	475.000000
2071.032187  	461.000000
2071.383860  	439.000000
2071.735562  	425.000000
2072.087294  	415.000000
2072.439056  	416.000000
2072.790847  	405.000000
2073.142668  	408.000000
2073.494519  	407.000000
2073.846400  	406.000000
2074.198310  	409.000000
2074.550251  	397.000000
2074.902221  	400.000000
2075.254220  	415.000000
2075.606250  	418.000000
2075.958309  	410.000000
2076.310398  	400.000000
2076.662517  	387.000000
2077.014666  	395.000000
2077.366844  	392.000000
2077.719052  	406.000000
2078.071290  	414.000000
2078.423557  	431.000000
2078.775855  	419.000000
2079.128182  	410.000000
2079.480539  	406.000000
2079.832925  	398.000000
2080.185342  	377.000000
2080.537788  	364.000000
2080.890263  	375.000000
2081.242769  	372.000000
2081.595304  	370.000000
2081.947870  	368.000000
2082.300464  	364.000000
2082.653089  	381.000000
2083.005743  	383.000000
2083.358428  	385.000000
2083.711142  	386.000000
2084.063885  	399.000000
2084.416659  	402.000000
2084.769462  	406.000000
2085.122295  	408.000000
2085.475157  	423.000000
2085.828050  	416.000000
2086.180972  	424.000000
2086.533924  	415.000000
2086.886906  	405.000000
2087.239917  	394.000000
2087.592958  	414.000000
2087.946029  	412.000000
2088.299130  	407.000000
2088.652260  	420.000000
2089.005421  	423.000000
2089.358611  	421.000000
2089.711830  	420.000000
2090.065080  	407.000000
2090.418359  	402.000000
2090.771668  	386.000000
2091.125007  	365.000000
2091.478375  	362.000000
2091.831774  	358.000000
2092.185202  	358.000000
2092.538659  	357.000000
2092.892147  	354.000000
